"300061";"PI037335";01.01.2025;"";01.01.2025;"";-1660,05;"EUR";-1660,05;"VPAY007158";13.01.2025;"Purch";"Yes"
"300061";"PI037336";01.01.2025;"";01.01.2025;"";-268,94;"EUR";-268,94;"VPAY007158";13.01.2025;"Purch";"Yes"
"300119";"PI037252";01.01.2025;"";14.12.2024;"";-6561,87;"EUR";-6561,87;"BA-HVKK006409";02.01.2025;"Purch";"Yes"
"300296";"PI037449";01.01.2025;"";01.01.2025;"";-290,42;"EUR";-290,42;"VPAY007144";13.01.2025;"Purch";"Yes"
"300683";"PI037254";01.01.2025;"";18.12.2024;"";-2261,00;"EUR";-2261,00;"VPAY007092";06.01.2025;"Purch";"Yes"
"300745";"KKLP000175";01.01.2025;"";;"";58,00;"EUR";58,00;"PI037283";01.01.2025;"GeneralJournal";"Yes"
"300745";"PI037283";01.01.2025;"";26.12.2024;"";-58,00;"EUR";-58,00;"KKLP000175";01.01.2025;"Purch";"Yes"
"300745";"PI037887";01.01.2025;"";26.01.2025;"";-58,00;"EUR";-58,00;"KKLP000178";01.02.2025;"Purch";"Yes"
"300746";"KKAS000172";01.01.2025;"";;"Ausgleich";581,95;"EUR";581,95;"PI037299";01.01.2025;"GeneralJournal";"Yes"
"300746";"KKAS000173";01.01.2025;"";;"Ausgleich";25,80;"EUR";25,80;"PI037022";01.01.2025;"GeneralJournal";"Yes"
"300746";"KKAS000174";01.01.2025;"";;"Ausgleich";100,34;"EUR";100,34;"PI037029";01.01.2025;"GeneralJournal";"Yes"
"300746";"KKAS000177";01.01.2025;"";;"Ausgleich";238,68;"EUR";238,68;"PI037783";22.01.2025;"GeneralJournal";"Yes"
"300746";"KKAS000178";01.01.2025;"";;"Ausgleich";500,00;"EUR";500,00;"PI038499";11.02.2025;"GeneralJournal";"Yes"
"300951";"PI037569";01.01.2025;"";22.12.2024;"";-523,59;"EUR";-523,59;"BA-HVKK006405";02.01.2025;"Purch";"Yes"
"301033";"PI037282";01.01.2025;"";01.01.2025;"";-285,65;"EUR";-285,65;"BA-HVKK006420";06.01.2025;"Purch";"Yes"
"300097";"PI037291";02.01.2025;"";02.01.2025;"";-971,04;"EUR";-971,04;"VPAY007160";13.01.2025;"Purch";"Yes"
"300119";"BA-HVKK006409";02.01.2025;"";02.01.2025;"Ausgleich";6561,87;"EUR";6561,87;"PI037252";02.01.2025;"GeneralJournal";"Yes"
"300340";"BA-HVKK006408";02.01.2025;"";02.01.2025;"Ausgleich";1720,74;"EUR";1720,74;"PI037220";02.01.2025;"GeneralJournal";"Yes"
"300508";"PI037247";02.01.2025;"";02.01.2025;"";-19337,50;"EUR";-19337,50;"VPAY007164";13.01.2025;"Purch";"Yes"
"300746";"KKAS000175";02.01.2025;"";;"Ausgleich";343,09;"EUR";343,09;"PI037334";02.01.2025;"GeneralJournal";"Yes"
"300746";"PI037334";02.01.2025;"";02.01.2025;"";-343,09;"EUR";-343,09;"KKAS000175";02.01.2025;"Purch";"Yes"
"300951";"BA-HVKK006405";02.01.2025;"";02.01.2025;"Ausgleich";523,59;"EUR";523,59;"PI037569";02.01.2025;"GeneralJournal";"Yes"
"301346";"BA-HVKK006406";02.01.2025;"";02.01.2025;"Ausgleich";952,00;"EUR";952,00;"PI037581";24.02.2025;"GeneralJournal";"Yes"
"301346";"PI037581";02.01.2025;"";02.01.2025;"";-952,00;"EUR";-952,00;"BA-HVKK006406";24.02.2025;"Purch";"Yes"
"301369";"PI037452";02.01.2025;"";02.01.2025;"";-12,78;"EUR";-12,78;"VPAY007154";13.01.2025;"Purch";"Yes"
"301437";"PI037450";02.01.2025;"";02.01.2025;"";-10495,80;"EUR";-10495,80;"VPAY007172";13.01.2025;"Purch";"Yes"
"301580";"PI037290";02.01.2025;"";;"";-1606,50;"EUR";-1606,50;"VPAY007244";27.01.2025;"Purch";"Yes"
"300048";"PI037401";03.01.2025;"";09.12.2024;"";-240,34;"EUR";-240,34;"VPAY007119";07.01.2025;"Purch";"Yes"
"300203";"PI037319";03.01.2025;"";30.12.2024;"";-421,26;"EUR";-421,26;"VPAY007142";13.01.2025;"Purch";"Yes"
"300252";"PI037346";03.01.2025;"";03.01.2025;"";-7341,11;"EUR";-7341,11;"VPAY007162";13.01.2025;"Purch";"Yes"
"300252";"PI037347";03.01.2025;"";03.01.2025;"";-11078,90;"EUR";-11078,90;"VPAY007162";13.01.2025;"Purch";"Yes"
"300023";"PAYVP019326";06.01.2025;"";;"";48,60;"EUR";48,60;"PAYVP019326";06.01.2025;"Settlement";"No"
"300023";"PAYVP019326";06.01.2025;"";;"";-48,60;"EUR";-48,60;"PAYVP019326";06.01.2025;"Settlement";"No"
"300023";"PAYVP019327";06.01.2025;"";;"";291,60;"EUR";291,60;"PAYVP019327";06.01.2025;"Settlement";"No"
"300023";"PAYVP019327";06.01.2025;"";;"";-291,60;"EUR";-291,60;"PAYVP019327";06.01.2025;"Settlement";"No"
"300023";"PAYVP019328";06.01.2025;"";;"";291,60;"EUR";291,60;"PAYVP019328";06.01.2025;"Settlement";"No"
"300023";"PAYVP019328";06.01.2025;"";;"";-291,60;"EUR";-291,60;"PAYVP019328";06.01.2025;"Settlement";"No"
"300023";"PAYVP019329";06.01.2025;"";;"";874,80;"EUR";874,80;"PAYVP019329";06.01.2025;"Settlement";"No"
"300023";"PAYVP019329";06.01.2025;"";;"";-874,80;"EUR";-874,80;"PAYVP019329";06.01.2025;"Settlement";"No"
"300023";"PAYVP019330";06.01.2025;"";;"";1354,96;"EUR";1354,96;"PAYVP019330";06.01.2025;"Settlement";"No"
"300023";"PAYVP019330";06.01.2025;"";;"";-1354,96;"EUR";-1354,96;"PAYVP019330";06.01.2025;"Settlement";"No"
"300023";"PAYVP019331";06.01.2025;"";;"";1632,96;"EUR";1632,96;"PAYVP019331";06.01.2025;"Settlement";"No"
"300023";"PAYVP019331";06.01.2025;"";;"";-1632,96;"EUR";-1632,96;"PAYVP019331";06.01.2025;"Settlement";"No"
